variante,canonico,codigo,classe,origem,confianca_mapeamento,risco_palavra_comum,ocorrencias,status,confianca,arquivo,evidencia
Tem,Zeus,RC-145,stt,prosa,baixa,sim,124,verificado,alta,RC-145-zeus.md,"ocê mesmo"" (paráfrase U0030; ver Disforia de gênio — BLOCO 2); Têmis (STT «Tem»/«Tênis») tentando ensinar Zeus a compre"
Tem,Têmis,RC-145,stt_contextual,parentetico,alta,sim,124,verificado,alta,RC-145-zeus.md,0030; ver Disforia de gênio — BLOCO 2); Têmis (STT «Tem»/«Tênis») tentando e
humano,Seres Terrenos,RC-099,variacao,etimologia,conceitual,sim,58,verificado,alta,RC-099-seres-terrenos.md,"- Grafia preferida: Seres Terrenos - Variações: Homo sapiens; humano; humanidade terrestre - Uso na Base: 1.6 Figuras humanas (espécie, não indivíduo)"
Tudo,Sociedade Thule,RC-848,stt,prosa,baixa,sim,38,verificado,média,RC-848-sociedade-thule.md, # Sociedade Thule — RC-848 ## Definição Sintética Sociedade Thule (STT 'sociedade Turno/Tudo'): a influência esotérica de Rudolf von 
Tudo,Definição Sintética,RC-848,stt_contextual,parentetico,alta,sim,38,verificado,média,RC-848-sociedade-thule.md,"-31"" +++ # Sociedade Thule — RC-848 ## Definição Sintética Sociedade Thule (STT 'sociedade Turno/Tudo'): a influência esot"
Tudo,Sociedade Thule,RC-848,stt_contextual,parentetico,alta,sim,38,verificado,média,RC-848-sociedade-thule.md,endo as coisas que o Mal tinha dito.» — Sociedade Thule (STT 'Turno/Tudo'): a influência esot
Javé,Criador,RC-041,variacao,etimologia,conceitual,nao,30,verificado,alta,RC-041-criador-brahma-jave-demiurgo.md,"- **Grafia preferida:** Criador - **Variações:** Brahma; Javé; Deus Bíblico; Demiurgo (Platão); ""Criador caído"""
Javé,Prabrajna,RC-152,variacao,etimologia,conceitual,nao,30,verificado,alta,RC-152-prabrajna.md,"- **Grafia preferida:** Prabrajna - **Variações:** Prajapati (tradição védica); identidade anterior de Brahma/Javé; ""Prabrajna"" também grafado como ""Prabrajná"" - **Origem:** sânscr"
Javé,Kether,RC-261,variacao,etimologia,conceitual,nao,30,verificado,alta,RC-261-kether-jave-na-cabala.md,- **Grafia preferida:** Kether - **Variações:** Kether/Javé; a Coroa (primeira sefirá); identificado a Javé e Brahma - **Idioma de origem:** hebraico (כתר = coroa)
Javé,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,30,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
Javé,Adhyshprabrajna,RC-310,variacao,etimologia,conceitual,nao,30,verificado,alta,RC-310-adhyshprabrajna-adhy-que-caiu.md,- **Grafia preferida:** Adhyshprabrajna - **Variações:** Adhy-Prabrajna; Prabrajna (forma curta); identidade anterior de Brahma/Javé/Alá - **Origem:** sânscrito/composto RC (Adhy +
espírito,Mônada,RC-149,variacao,etimologia,conceitual,sim,12,verificado,alta,RC-149-monada-monada-espiritual.md,- **Grafia preferida:** Mônada - **Variações:** mônada espiritual; alma; espírito; consciência espiritual particularizada; protoconsciência particularizada - **Origem:** do grego *
Brama,Brahma,RC-037,nunca,quarentena,alta,nao,8,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Brahma** (RC-037) — NUNCA ""Brama"""
caos,Javé como Caos Personificado,RC-782,stt,etimologia,alta,nao,6,verificado,média,RC-782-jave-como-caos-personificado.md,"- **Grafia preferida:** Javé como Caos Personificado - **Variações STT capturadas:** ""caos"", ""Javé é o caos"", ""caos personificado"" - **Idioma de origem:** Grego antigo (Χάος ""chaos"
Jahé,Obatalá (correspondência de Javé em Ifá),RC-666,stt,prosa,referencia_oral,nao,6,em análise,baixa,RC-666-obatala-correspondencia-de-jave-em-ifa.md,"25):** ""Jafé ou Obatalá pediu a Orumilá para criar revelação de Ifá"" (STT ""Jafé/Jahé"") — renovação do Ifá como contramedida à"
Caos,Brahma,RC-037,variacao,etimologia,conceitual,nao,6,verificado,alta,RC-037-brahma-brajna.md,"- **Grafia preferida:** Brahma - **Variações:** Brajna (condição Adhyatman, antes da queda); identificado a Javé, Caos, Pan Ku, Alá, Atom"
Caos,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,6,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
o Grande,Budismo como Exceção (Sem Deus),RC-803,corruptela,prosa,referencia_oral,nao,5,verificado,média,RC-803-budismo-como-excecao.md," figuras como Buda, bodhisattvas, etc.). - O ""Grande Galan"" provavelmente é STT corruptela de ""Gautama, o Grande"" — verificar. - [REVISAR → CHA"
deve,Deva / Aurora. Epíteto,RC-475,stt,etimologia,alta,sim,5,verificado,média,RC-475-deva-aurora-a-grande-deusa.md,STT: deve.
Eva,Sequência Formativa da Racionalidade Humana,RC-785,stt,etimologia,referencia_oral,nao,5,em análise,baixa,RC-785-sequencia-formativa-da-racionalidade-humana.md,"- **Grafia preferida:** Sequência Formativa da Racionalidade Humana - **Variações STT capturadas:** ""Pandora, Lilif, Irra, Eva, Noreia"", ""cadeia de mulheres que produziram a racion"
Eva,Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sá,RC-814,stt,etimologia,referencia_oral,nao,5,verificado,alta,RC-814-eva-como-terceira-tentativa.md,"- **Grafia preferida:** Eva como 3ª Tentativa de Fêmea para Adão (Homem + Mulher da Espécie Sábia) - **Variações STT capturadas:** ""Eva"", ""alternativa homo"", ""homem com mulher da e"
choque,Choque de Realidade,RC-898,variacao,etimologia,conceitual,nao,5,verificado,média,RC-898-choque-de-realidade.md,- **Grafia preferida:** Choque de Realidade - **Variações:** choque; explosão; despertar forçado - **Idioma de origem:** Português
Eva,Sequência Formativa da Racionalidade Humana,RC-785,variacao,etimologia,referencia_oral,nao,5,em análise,baixa,RC-785-sequencia-formativa-da-racionalidade-humana.md,"- **Grafia preferida:** Sequência Formativa da Racionalidade Humana - **Variações STT capturadas:** ""Pandora, Lilif, Irra, Eva, Noreia"", ""cadeia de mulheres que produziram a racion"
universo vizinho,Criação Bipartida,RC-312,variacao,etimologia,conceitual,nao,5,em análise,baixa,RC-312-criacao-bipartida.md,"- **Grafia preferida:** Criação Bipartida - **Variações capturadas:** ""dois universos paralelos"", ""dois universos interpostos"", ""universo vizinho/gêmeo"" - **Idioma de origem:** Por"
século,A Falsa Trindade,RC-273,stt,prosa,baixa,sim,4,verificado,alta,RC-273-a-falsa-trindade-concilio-de-niceia.md,rão de Niceia 325 (o que seria verdade definido pelo Império Romano); STT «século» (sem número — o STT trai); RC-273 relig
Paraíso,Realidade Maior / Paraíso Original,RC-204,variacao,etimologia,referencia_oral,sim,4,em análise,baixa,RC-204-realidade-maior-paraiso-original.md,"- **Grafia preferida:** Realidade Maior / Paraíso Original. - **Variações:** nível paradisíaco; Paraíso; matriz original. - **Termo externo local:** Ilha Estacionária do Paraíso, d"
Alá,Brahma,RC-037,variacao,etimologia,conceitual,nao,3,verificado,alta,RC-037-brahma-brajna.md,"- **Grafia preferida:** Brahma - **Variações:** Brajna (condição Adhyatman, antes da queda); identificado a Javé, Caos, Pan Ku, Alá, Atom"
Alá,Caos = Brahma = Javé,RC-284,variacao,etimologia,referencia_oral,nao,3,em análise,baixa,RC-284-caos-brahma-jave-correspondencia.md,"- **Grafia preferida:** Caos = Brahma = Javé - **Variações:** Caos/Brahma/Javé; Caos (Javé); Caos = Brahma = Javé (cadeia completa com Jeová, Alá, Pangu, Atom) - **Idioma de origem"
Alá,Adhyshprabrajna,RC-310,variacao,etimologia,conceitual,nao,3,verificado,alta,RC-310-adhyshprabrajna-adhy-que-caiu.md,- **Grafia preferida:** Adhyshprabrajna - **Variações:** Adhy-Prabrajna; Prabrajna (forma curta); identidade anterior de Brahma/Javé/Alá - **Origem:** sânscrito/composto RC (Adhy +
honra,Timé,RC-293,variacao,etimologia,conceitual,sim,3,verificado,alta,RC-293-time-de-um-deus.md,"- **Grafia preferida:** Timé - **Variações:** timi; honra/domínio de um deus; equivalente sânscrito: varna - **Idioma de origem:** grego (τιμή = honra, valor, prerrogativa)"
próximo,Bondade Humana,RC-895,variacao,etimologia,conceitual,nao,3,verificado,média,RC-895-bondade-humana.md,- **Grafia preferida:** Bondade Humana - **Variações:** coração bondoso; fazer o bem; próximo - **Idioma de origem:** Português
série,Arquivos Mentais,RC-548,variacao,etimologia,conceitual,sim,3,verificado,alta,RC-548-arquivos-mentais-colecao-de-conceitos-no-psiquismo.md,"- **Grafia preferida:** Arquivos Mentais - **Variações:** ""arquivo mental"" (singular); ""Arquivos Mentais"" (título do capítulo/série) - **Obs.:** conceito central da série Mentalma;"
Sofia,Sophia,RC-009,nunca,quarentena,alta,nao,2,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Sophia** (RC-009) — NUNCA ""Sofia"""
alimentos,Alimentação por Perfume dos Humanos (Demos se Alimentam de DNA),RC-820,stt,etimologia,referencia_oral,nao,2,verificado,média,RC-820-alimentacao-por-perfume-dos-humanos.md,"- **Grafia preferida:** Alimentação por Perfume dos Humanos (Demos se Alimentam de DNA) - **Variações STT capturadas:** ""perfume"", ""sequências genéticas"", ""elementos sutis"", ""alime"
Cristo,Krishna (avatar de Vishnu/Shiva),RC-414,stt,prosa,baixa,nao,2,verificado,alta,RC-414-krishna-avatar-de-vishnu-shiva.md,"erra"". ### P2021-01-23 - **[P2021-01-23 — FONTE ORIGINAL] Krishna (STT 'Cristo/Cristva') (U0750–U1050):** ""os seres que viviam "
Rainha,Ragnarok em Marte,RC-395,stt,prosa,baixa,nao,2,verificado,alta,RC-395-ragnarok-em-marte.md,elacionado a uma ancoragem antiga em Marte e à Bifrost; a correção do STT “Rainha” para Ragnarok foi validada pelo curador
Saibá,Saibaba como Precursor de Jesus,RC-801,stt,etimologia,referencia_oral,nao,2,em análise,baixa,RC-801-saibaba-como-precursor-de-jesus.md,"- **Grafia preferida:** Saibaba como Precursor de Jesus - **Variações STT capturadas:** ""Caibá"", ""Caibá"", ""Saibaba"", ""Saibá"", ""saibá"", ""prima sai"" (STT fonética) - **Linhagem encar"
Sofia,Sophia,RC-009,stt,prosa,baixa,nao,2,verificado,alta,RC-009-sophia-cristo-cosmico.md," que foi criado para cá para representar esses seres aqui.» — Sophia (STT ""Sofia/Rockman"") como o suzerano criado para representa"
Cristo,Krishna,RC-414,stt_contextual,parentetico,alta,nao,2,verificado,alta,RC-414-krishna-avatar-de-vishnu-shiva.md,"-23 - **[P2021-01-23 — FONTE ORIGINAL] Krishna (STT 'Cristo/Cristva') (U0750–U1050):** """
Sofia,Sophia,RC-009,stt_contextual,parentetico,alta,nao,2,verificado,alta,RC-009-sophia-cristo-cosmico.md,"á para representar esses seres aqui.» — Sophia (STT ""Sofia/Rockman"") como o suzerano cr"
