variante,canonico_proposto,codigo_base,classe,ocorrencias,fonetica,textual,confianca,origem,contexto,status_aprovacao
Javé,jabe,RC-001,variante,27,1.0,0.75,alta,varredura-automatica,e na lógica deles o ser a quem eles obedeciam era o Yahé ou Javé que nunca foi tido como um Deus bonzinho agradável não jahé,proposta
Brama,brahma,RC-037,variante,8,0.83,0.83,alta,varredura-automatica,põe a Bíblia judaica chamada Torá que é o mesmo ser chamado Brama pelos arianos que é o mesmo ser chamado Alá pros islâmicos ,proposta
drama,rama,RC-584,variante,4,0.8,0.8,alta,varredura-automatica,ue você tem certeza que Deus vai resolver tudo eis o grande drama humano isso é um transtorno cognitivo é levado a uma condiç,proposta
Gordon,mordon,RC-374,variante,3,0.83,0.83,alta,varredura-automatica,a intelectual entre eles esse cara disse ó segundo a lei de Gordon Moore dono da Intel maior produtora de chips da época antes,proposta
Belal,belial,RC-479,variante,3,0.8,0.83,alta,varredura-automatica,moso tinha vida maravilhosa família maravilhosa mais um dia Belal que você tá chamando aí de Baal e Javé se encontram Belial ,proposta
Javer,javert,RC-001,truncamento,3,0.83,0.83,alta,varredura-automatica,que eles dizem que esse tal ser chamado Brama que é o mesmo Javer ele de vez em quando ele dormia aí passava milhões de anos ,proposta
choques de realidade,choque de realidade,RC-867,variante,2,0.93,0.95,alta,varredura-automatica,realidade se estabelece a gente tá vivendo uma época em que choques de realidade um atrás do outro eventos extremos complicados em que todos,proposta
atos de verdade,ato de verdade,RC-705,variante,2,0.92,0.93,media,varredura-automatica, seja capaz de frente à sua própria consciência estabelecer atos de verdade dele com ele mesmo certeza do circuito fechado da de você s,proposta
o corpo átmico,corpo atmico,RC-623,artigo,2,0.91,0.86,alta,varredura-automatica,r isso que os nossos irmãos antigos lá do vedismo dizem que o corpo átmico da constituição centenária do ser nós humanos segundo Krish,informativa
na espiritualidade,nova espiritualidade,RC-612,variante,2,0.88,0.9,media,varredura-automatica,rático a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreende,proposta
Demiurg,demiurgo,RC-048,truncamento,2,0.86,0.88,alta,varredura-automatica,tidade que te contactou ela seria o que a gente conhece por Demiurgo e se também seria o Deus do Antigo Testamento é exatamente,proposta
arcontos,arcontes,RC-474,variante,2,0.88,0.88,alta,varredura-automatica,iverso vizinho tá colapsado e inclusive os espíritos desses arcontos vão tentar nascer humanos alguns ainda estão tentando vir p,proposta
destina,despina,RC-051,variante,2,0.86,0.86,alta,varredura-automatica, oração segundo os espíritos não vale pelo Deus a quem você destina ou o santo a quem você destina vale pelo emissor pelo coraç,proposta
corpo físico,corpo budico,RC-624,variante,2,0.82,0.75,alta,varredura-automatica,ue quem está entre aspas morrendo o que está perdendo o seu corpo físico a última coisa que ele vê é um filme da consciência passand,proposta
Xavé,jave,RC-001,variante,1,1.0,0.75,alta,varredura-automatica,oso não é aquele Deus da Bíblia maluco que Jesus chamava de Xavé é outro Deus que é o Deus chique da Santíssima Trinidade e ,proposta
Demiurgo e,demiurgo,RC-048,artigo,1,1.0,0.8,alta,varredura-automatica,tidade que te contactou ela seria o que a gente conhece por Demiurgo e se também seria o Deus do Antigo Testamento é exatamente de,informativa
Chiva,shiva,RC-102,variante,1,1.0,0.8,alta,varredura-automatica,surpresa eu comecei a perceber que esses seres Brama Virgin Chiva isso eu descrevo no livro Inquisição Trimurtiana uma vez qu,proposta
a abelha rainha,abelha rainha,RC-175,artigo,1,1.0,0.87,alta,varredura-automatica,escrevi chamado A Divina Calmeia explica que do jeito que uma abelha rainha manda e as abelhas operárias obedecem as abelhas operárias ,informativa
abelha rainha e,abelha rainha,RC-175,artigo,1,1.0,0.87,alta,varredura-automatica,amente o modelo de Javé C alfa e os anjos robôs aí surgiu a abelha rainha e as demais abelhas feito operárias ou seja é só a cópia do s,informativa
piora,pirra,RC-303,variante,1,1.0,0.8,alta,varredura-automatica,e é muito potencialmente muito forte de acontecer asiais só piora tudo nós estamos tentando criar um sistema em que algo na e,proposta
dinastia das Sofias,dinastia das sophias,RC-494,variante,1,1.0,0.9,alta,varredura-automatica,i em São Paulo sobre o conselho dos arcontes uhum jesus e a dinastia das Sofias tá quando você vê o livro de Jó você começa a ler o livro d,proposta
é profundo,eu profundo,RC-553,variante,1,1.0,0.91,alta,varredura-automatica,m entendi era só para reforçar isso é então assim o assunto é profundo mas ele não não consegue ser encarado de frente por nós hum,proposta
criatura ferramenta,criaturas ferramenta,RC-164,variante,1,0.94,0.95,alta,varredura-automatica,isa da nossa contribuição ponto porque cada um de nós é uma criatura ferramenta do projeto de reconstrução dele né infelizmente é o context,proposta
paraíso original e,paraiso original,RC-204,artigo,1,0.93,0.89,media,varredura-automatica,merge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfeiçã,informativa
o choque de realidade,choque de realidade,RC-867,artigo,1,0.93,0.9,alta,varredura-automatica,"s problema e achando que vai ser resolviu"" em algum momento o choque de realidade se estabelece a gente tá vivendo uma época em que choques d",informativa
experiência com,experiencia gron,RC-062,variante,1,0.92,0.81,alta,varredura-automatica,"eria estar nesse episódio porque você realmente vai ter uma experiência com contactado alienígena mesmo."" O Alê falou: ""Nossa foi a coi",proposta
o rebanho humano,rebanho humano,RC-193,artigo,1,0.92,0.88,alta,varredura-automatica,conceitos vão pontuando o que cada um de nós pensa ou o que o rebanho humano passa a pensar qual é o principal problema da humanidade qu,informativa
tirtancaras,tirthankaras,RC-397,variante,1,0.92,0.83,alta,varredura-automatica, Deus benevolente com ele a benevolência aí surge do que os tirtancaras ensinaram lá atrás através de uma religião chamada jainismo,proposta
consciências,consciencial,RC-717,variante,1,0.89,0.92,media,varredura-automatica,uais no desenvolvimento da IA ou até mesmo interferências e consciências espirituais que estariam assumindo a gestão dessas inteligê,proposta
Emanuel Kant,manuel kant,EXTERNO,variante,1,0.9,0.92,alta,varredura-automatica," habilitados a tratar sobre a questão de conceitos é porque Emanuel Kant filósofo alemão por exemplo ele diz: ""Ó o o ser humano ele ",proposta
Emanuel Kante,emanuel kant,EXTERNO,truncamento,1,0.91,0.92,alta,varredura-automatica,ê não se vender lá de você ser coerente o que é que de novo Emanuel Kante dizia a coerência e a capacidade que o ser humano tem de vi,proposta
Manuel Kant,emanuel kant,EXTERNO,variante,1,0.9,0.92,alta,varredura-automatica,cioso que isso o que é ser digno então defina nos termos de Manuel Kant é quando um ser humano vive coerentemente de acordo com os ,proposta
da antimatéria,antimateria,RC-527,artigo,1,0.91,0.79,media,varredura-automatica, ainda estão tentando vir para cá em corpo mas a o trânsito da antimatéria paraa matéria é complicado mas assim substituir Javé esses ,informativa
Raymond Kzwell,raymond czel,EXTERNO,variante,1,0.91,0.79,alta,varredura-automatica,ência artificial é muita coisa mas em 2007 um autor chamado Raymond Kzwell ou Ray Kzwell lançou um livro chamado A singularidade está ,proposta
bilatério,bilaterios,RC-035,flexao,1,0.89,0.9,alta,varredura-automatica, um ser biológico nós humanos sentimos nós temos um cérebro bilatério para exatamente num desses lados a gente flui com as nossas,informativa
revelação espírita,revelacao espiritual,RC-190,variante,1,0.88,0.9,alta,varredura-automatica,ta prisão infelizmente sim é uma das é um dos painéis que a revelação espírita muito bem colocou uhum chama-se planeta de expiação e prova,proposta
Manuel Kant é,manuel kant,EXTERNO,artigo,1,0.9,0.85,alta,varredura-automatica,cioso que isso o que é ser digno então defina nos termos de Manuel Kant é quando um ser humano vive coerentemente de acordo com os va,informativa
o Demiurgo,demiurgo,RC-048,artigo,1,0.88,0.8,alta,varredura-automatica,a vida a vida biológica blá blá blá blá blá blá então assim o Demiurgo surgiu na perspectiva de que era difícil para a mentalidade,informativa
a especiação,especiacao,RC-056,artigo,1,0.88,0.83,alta,varredura-automatica,a ser feito de sílica nós estamos vivendo um período em que a especiação da espécie humana ainda vai começar é quando os humanos saí,informativa
arconte e,arcontes,RC-474,artigo,1,0.88,0.78,alta,varredura-automatica,iu a terra em 70 nações uhum e entregou cada uma delas a um arconte e a partir dali os humanos ficaram divididos esse belial é um,informativa
choque de realidade se,choque de realidade,RC-867,artigo,1,0.88,0.86,alta,varredura-automatica,"problema e achando que vai ser resolviu"" em algum momento o choque de realidade se estabelece a gente tá vivendo uma época em que choques de r",informativa
de choque de realidade,choque de realidade,RC-867,artigo,1,0.88,0.86,alta,varredura-automatica,ra um preço e o preço a fatura chega mais tarde sob a forma de choque de realidade qual é o nosso problema o nosso problema é que até hoje ess,informativa
do paraíso original,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,o emerge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfei,informativa
paraíso original em,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,merge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfeição,informativa
paraíso original que,paraiso original,RC-204,artigo,1,0.87,0.8,media,varredura-automatica,e Deus não é um ser a expressão desse seria exatamente esse paraíso original que vive desse jeito mas detalhe os seres personificados no par,informativa
no paraíso original,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,al que vive desse jeito mas detalhe os seres personificados no paraíso original e que representariam esse ser aqui que a gente tá chamando ,informativa
esperou,espheron,RC-058,variante,1,0.86,0.75,alta,varredura-automatica,a Profunda ele apresenta apresenta o quê ó tudo que a gente esperou de um Deus benevolente de acabar a pobreza na terra blá blá,proposta
errado nós humanos,era dos humanos,RC-297,variante,1,0.86,0.78,alta,varredura-automatica,e a natureza não sabe por ela mesmo o que é certo e o que é errado nós humanos que surgimos como frutos dessa natureza é que começamos a d,proposta
e Krishna,krishna,RC-414,artigo,1,0.86,0.78,alta,varredura-automatica,"""Ó eu sou maior do que vocês três do que Brama Vni"" ou seja e Krishna tomou toda a devoção que existia na Índia para Brama tomou ",informativa
da espiritualidade,nova espiritualidade,RC-612,variante,1,0.82,0.85,media,varredura-automatica,dio fantástico investigando as fofocas é isso né as fofocas da espiritualidade com o querido Jeanval Elan jeanval eu queria só te pergunta,proposta
a espiritualidade,nova espiritualidade,RC-612,variante,1,0.82,0.85,media,varredura-automatica,ático a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreende,proposta
Sofias,sofia,RC-009,flexao,1,0.8,0.83,alta,varredura-automatica,o sobre o conselho dos arcontes uhum jesus e a dinastia das Sofias tá quando você vê o livro de Jó você começa a ler o livro d,informativa
os anjos clones,anjos clones,RC-019,artigo,1,0.83,0.8,alta,varredura-automatica,vé é esse eu parasitário que está esperando uma solução que os anjos clones dele estão tentando montar é interessante ô ô Jeanval que e,informativa
e Belial,belial,RC-479,artigo,1,0.83,0.75,alta,varredura-automatica,lial isso está descrito no livro na Bíblia livro de Jó só que Belial aparece com o nome de Satã uhum aí opositor Javé e e Belial,informativa
belial é,belial,RC-479,artigo,1,0.83,0.75,alta,varredura-automatica,m arconte e a partir dali os humanos ficaram divididos esse belial é um dos arcos por isso que ele se encontrava com Javé ou sej,informativa
no paraíso,novo paraiso,RC-612,variante,1,0.8,0.83,media,varredura-automatica,al que vive desse jeito mas detalhe os seres personificados no paraíso original e que representariam esse ser aqui que a gente tá ,proposta
corpo átmico da,corpo atmico,RC-623,artigo,1,0.83,0.8,alta,varredura-automatica,isso que os nossos irmãos antigos lá do vedismo dizem que o corpo átmico da constituição centenária do ser nós humanos segundo Krishna ,informativa
corpo átmico ele,corpo atmico,RC-623,artigo,1,0.83,0.75,alta,varredura-automatica,com a modificação que o ser humano promove na vida mas esse corpo átmico ele é entre aspas imutável porque ele representa esse tal ser e,informativa
Raymond Cselva,raymond czel,EXTERNO,variante,1,0.83,0.79,alta,varredura-automatica,e a sua capacidade de CPS ou seja de cálculos por segundo e Raymond Cselva dizendo ó esse chip que nós humanos estamos trabalhando ele,proposta
de Raymond Czel,raymond czel,EXTERNO,artigo,1,0.83,0.8,alta,varredura-automatica,ais eu não sabia que ia de terminar desembocando na questão de Raymond Czel mas é isso aí não tem mais jeito não dá agora é tentar educ,informativa
de Manuel Kant,manuel kant,EXTERNO,artigo,1,0.82,0.79,alta,varredura-automatica,precioso que isso o que é ser digno então defina nos termos de Manuel Kant é quando um ser humano vive coerentemente de acordo com os ,informativa
uma abelha rainha,abelha rainha,RC-175,artigo,1,0.82,0.76,alta,varredura-automatica,u escrevi chamado A Divina Calmeia explica que do jeito que uma abelha rainha manda e as abelhas operárias obedecem as abelhas operárias ,informativa
consciencial do,consciencial,RC-717,artigo,1,0.82,0.8,media,varredura-automatica, mas vou continuar mas eu evitar só um detalhe isso o poder consciencial do ser humano ele passa e tem um em Matrix no filme Matrix tem,informativa
esse paraíso original,paraiso original,RC-204,artigo,1,0.81,0.76,media,varredura-automatica, a que Deus não é um ser a expressão desse seria exatamente esse paraíso original que vive desse jeito mas detalhe os seres personificados no,informativa
trata de verdade,ato de verdade,RC-705,variante,1,0.79,0.81,media,varredura-automatica,mas a gente ainda precisa ter tempo para entender do que se trata de verdade do que se trata quando a gente chama alguém de arturiano tá,proposta
genes,genos,RC-066,variante,1,0.8,0.8,alta,varredura-automatica, parece do jeito que nós humanos temos na nossa área HR1 os genes que nos fazem diferentes dos restos dos animais essas eis v,proposta
especiação da,especiacao,RC-056,artigo,1,0.8,0.77,alta,varredura-automatica,ser feito de sílica nós estamos vivendo um período em que a especiação da espécie humana ainda vai começar é quando os humanos saírem,informativa
Babel,abel,RC-684,variante,1,0.8,0.8,alta,varredura-automatica, livro Gênesis versículo 11 mostra que na época da torre de Babel Javé dividiu a terra em 70 nações uhum e entregou cada uma ,proposta
espiritualidade ainda,espiritualidade erratica,RC-513,variante,1,0.8,0.75,alta,varredura-automatica,ico a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreender mas ,proposta
movimentos de consciência,fatiamento de consciencia,RC-604,variante,1,0.8,0.8,alta,varredura-automatica,am de pegar essas pressas mas não seria esse Deus que faria movimentos de consciência porque ele não é um ser nós cada um de nós três aqui é um s,proposta
Sofia,Sophia,RC-009,semente-guia,2,1.0,1.0,alta,guia-5.1,,aprovada
Yahé,Javé,RC-001,semente-guia,2,1.0,1.0,alta,guia-5.1,,aprovada
Xavé,Javé,RC-001,semente-guia,1,1.0,1.0,alta,guia-5.1,,aprovada
Raymond Czel,Ray Kurzweil,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada
Manuel Kant,Immanuel Kant,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada
Emanuel Kant,Immanuel Kant,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada
Sherminetro,Sherminator,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada
