variante,canonico,codigo_base,tipo,origem,observacao,status_aprovacao
Thomas Robs,Thomas Hobbes,EXTERNO,externa-autor,conhecimento geral do revisor (2026-09-16),"filósofo inglês, Leviatã (1651); citado no bloco 2 sobre o contrato social",proposta
Hobbes,Thomas Hobbes,EXTERNO,externa-autor,conhecimento geral do revisor (2026-09-16),"semente de proteção: o sobrenome sozinho não pode virar variante de termo da base",proposta
Mary Chiley,Mary Shelley,EXTERNO,externa-autor,corroborado pela KB-RC ("o Frankenstein de Shelley"),"autora de Frankenstein (1818); citada no bloco 2",proposta
Dr frankstein,Frankenstein,EXTERNO,externa-obra,KB-RC + conhecimento geral do revisor (2026-09-16),"romance de Mary Shelley; o STT grafa 'frankstein' sem maiúscula",proposta
barão de Tararé,Barão de Itararé,EXTERNO,externa-pessoa,conhecimento geral do revisor (2026-09-16),"pseudônimo de Aparício Torelly; bloco 6, no contexto de Fausto e da obediência",proposta
Miguel Nicoles,Miguel Nicolelis,EXTERNO,externa-autor,conhecimento geral do revisor (2026-09-16),"neurocientista brasileiro; bloco 6",proposta
Nicoleles,Miguel Nicolelis,EXTERNO,externa-autor,conhecimento geral do revisor (2026-09-16),variante STT do sobrenome,proposta
Nvid,Nvidia,EXTERNO,externa-empresa,conhecimento geral do revisor (2026-09-16),"truncamento; o canônico Nvidia já está em externos.csv",proposta
chato GP,ChatGPT,EXTERNO,externa-produto,conhecimento geral do revisor (2026-09-16),"blocos 5 e 6",proposta
chat PT,ChatGPT,EXTERNO,externa-produto,conhecimento geral do revisor (2026-09-16),variante STT,proposta
Chat GPT,ChatGPT,EXTERNO,externa-produto,conhecimento geral do revisor (2026-09-16),"semente de proteção: grafia separada não pode virar outro termo",proposta
Antropic,Anthropic,EXTERNO,externa-empresa,conhecimento geral do revisor (2026-09-16),variante STT,proposta
Black Rock,BlackRock,EXTERNO,externa-empresa,conhecimento geral do revisor (2026-09-16),"gestora de ativos; grafia correta é sem espaço",proposta
Vanguard,Vanguard,EXTERNO,externa-empresa,conhecimento geral do revisor (2026-09-16),"semente de proteção: citada ao lado de BlackRock",proposta
teta healing,Theta Healing,EXTERNO,externa-pratica,conhecimento geral do revisor (2026-09-16),"prática citada no bloco 6",proposta
O Exterminador do Futuro,O Exterminador do Futuro (The Terminator),EXTERNO,externa-obra,conhecimento geral do revisor (2026-09-16),"título pt-BR da franquia; o STT entrega 'Terminator' e 'exterminador'",proposta
Terminator,O Exterminador do Futuro (The Terminator),EXTERNO,externa-obra,conhecimento geral do revisor (2026-09-16),"NUNCA confundir com 'Alexandre Sherminator': o apelido do apresentador não tem relação com a franquia",proposta
Blade Runner,Blade Runner,EXTERNO,externa-obra,conhecimento geral do revisor (2026-09-16),semente de proteção,proposta
