variante,canonico_proposto,superficie_casada,codigo_base,classe,ocorrencias,fonetica,textual,confianca,origem,contexto,status_aprovacao,adjudicacao,motivo_adjudicacao,ocorrencias_no_revisado
ainda,Brahma,anda,RC-037,variante,4,1.0,0.8,alta,varredura-automatica,iona de acordo com regras pré-estabelecidas no planejamento ainda que quem finalize seja entropia esse aqui é improvisado tud,proposta,recusada,"Ruído fonético: casa na superfície 'anda' (""Brahma anda""). 'ainda' é advérbio comum, não RC-037.",4
um loop mental,Loop Mental,loop mental,RC-924,artigo,3,0.82,0.79,alta,varredura-automatica, tentar entender isso aqui o que surgiu de fato isso aqui é um loop mental foi a Isso aqui é um loop mental com a ideia original que o,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,2
locas,Lokas,lokas,RC-077,variante,2,1.0,0.8,alta,varredura-automatica, cada planeta com alguns satélites esse aqui tem milhões de locas o que é locas sabe uma qualia que tem aqueles buraquinhos c,proposta,aceita,Variante STT atestada no corpo do bruto: 'milhões de locas. O que é locas?' Canônico: Lokas (RC-077).,0
e antimatéria,Antimundo / antimatéria,antimateria,RC-527,artigo,2,0.9,0.85,media,varredura-automatica,ingularidade com quarks e glu que ao explodir criou matéria e antimatéria ou seja os dois universos que se formaram um de matéria e u,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,2
elétron,Elétrons,eletrons,RC-162,flexao,2,0.88,0.88,alta,varredura-automatica,de mas tudo se transforma é exatamente o fato de que nenhum elétron daqui nenhum pósitron daqui que é o antielétron desde que i,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,2
universo paralelo a,Universo Paralelo,universo paralelo,RC-108,artigo,1,1.0,0.89,alta,varredura-automatica,ado ter existido no seu momento criativo ele improvisou num universo paralelo a esse simultâneo E esses dois universos ficaram dentro do ov,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
abelha rainha e,Abelha-Rainha,abelha rainha,RC-175,artigo,1,1.0,0.87,alta,varredura-automatica,uele isso aqui é um grande é uma grande colmeia que tem uma abelha rainha e o resto é abelha operária tem um ser alfa o resto obedece f,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
antimatéria ou,Antimundo / antimatéria,antimateria,RC-527,artigo,1,1.0,0.79,media,varredura-automatica,gularidade com quarks e glu que ao explodir criou matéria e antimatéria ou seja os dois universos que se formaram um de matéria e um d,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
antimatéria a,Antimundo / antimatéria,antimateria,RC-527,artigo,1,1.0,0.85,media,varredura-automatica,eja os dois universos que se formaram um de matéria e um de antimatéria a ciência só não diz que tinha um criador que caiu em algum l,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
o princípio da externalização,Princípio da Externalização,principio da externalizacao,RC-768,artigo,1,0.96,0.93,alta,varredura-automatica,ua existindo mas pra gente entender isso é preciso entender o princípio da externalização nós biológicos que surgimos depois disso essa parede aqui i,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
do princípio da externalização,Princípio da Externalização,principio da externalizacao,RC-768,artigo,1,0.92,0.9,alta,varredura-automatica,iu aqui com toda a sua massa mental e com isso tudo a força do princípio da externalização do reu do criador caído foi através dessa força externaliza,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
princípio da externalização do,Princípio da Externalização,principio da externalizacao,RC-768,artigo,1,0.92,0.9,alta,varredura-automatica,aqui com toda a sua massa mental e com isso tudo a força do princípio da externalização do reu do criador caído foi através dessa força externalizando,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
loop mental e,Loop Mental,loop mental,RC-924,artigo,1,0.9,0.85,alta,varredura-automatica,m dentro da mente de um só ser esse ser ele externalizou um loop mental e dentro do loop mental ele criou isso aqui esse aqui está ac,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
universos paralelos,Universo Paralelo,universo paralelo,RC-108,variante,1,0.89,0.89,alta,varredura-automatica,dade é fruto de uma origem cósmica complexa envolvendo dois universos paralelos gerados simultaneamente — um planejado e o nosso improvisad,proposta,recusada,Flexão legítima (plural de uso comum). RC-108 é o termo; flexionar não é corromper. Mesmo caso de 'Brama' no lote 01.,0
elétrons é,Elétrons,eletrons,RC-162,artigo,1,0.89,0.8,alta,varredura-automatica, que é o antielétron desde que isso começou a quantidade de elétrons é a mesma não é criado nunca um novo elétron e nenhum dos elé,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,2
elétrons a,Elétrons,eletrons,RC-162,artigo,1,0.89,0.8,alta,varredura-automatica,iado morre o que é que se modifica é a memória quântica dos elétrons a cada pulsação de vida os elétrons memorizam isso aqui são o,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
