variante,canonico_proposto,superficie_casada,codigo_base,classe,ocorrencias,fonetica,textual,confianca,origem,contexto,status_aprovacao,adjudicacao,motivo_adjudicacao,ocorrencias_no_revisado
Brama,Brahma,brahma,RC-037,variante,8,0.83,0.83,alta,varredura-automatica,põe a Bíblia judaica chamada Torá que é o mesmo ser chamado Brama pelos arianos que é o mesmo ser chamado Alá pros islâmicos ,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
Belal,Belial,belial,RC-479,variante,3,0.8,0.83,alta,varredura-automatica,moso tinha vida maravilhosa família maravilhosa mais um dia Belal que você tá chamando aí de Baal e Javé se encontram Belial ,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
Javer,Javé,javert,RC-001,truncamento,3,0.83,0.83,alta,varredura-automatica,que eles dizem que esse tal ser chamado Brama que é o mesmo Javer ele de vez em quando ele dormia aí passava milhões de anos ,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
choques de realidade,Choque de Realidade,choque de realidade,RC-867,variante,2,0.93,0.95,alta,varredura-automatica,realidade se estabelece a gente tá vivendo uma época em que choques de realidade um atrás do outro eventos extremos complicados em que todos,proposta,recusada,flexão plural legítima de Choque de Realidade (RC-867); o termo está correto,2
atos de verdade,Ato de Verdade / Satyagraha,ato de verdade,RC-705,variante,2,0.92,0.93,media,varredura-automatica, seja capaz de frente à sua própria consciência estabelecer atos de verdade dele com ele mesmo certeza do circuito fechado da de você s,proposta,recusada,flexão plural legítima de Ato de Verdade (RC-705); o termo está correto,2
o corpo átmico,Corpo Átmico,corpo atmico,RC-623,artigo,2,0.91,0.86,alta,varredura-automatica,r isso que os nossos irmãos antigos lá do vedismo dizem que o corpo átmico da constituição centenária do ser nós humanos segundo Krish,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,2
na espiritualidade,Nova Espiritualidade / Novo Paraíso,nova espiritualidade,RC-612,variante,2,0.88,0.9,media,varredura-automatica,rático a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreende,proposta,recusada,preposição + substantivo comum; RC-612 não é o sentido,2
para Brama,Ishvara,para bragna,RC-691,variante,2,0.9,0.82,alta,varredura-automatica,"que eles estavam na última aí nesse livro eu conto eu chego para Brama e digo: ""Você não tá notando que você tá prestes a ter uma ",proposta,recusada,"alvo errado: 'Brama' foi adjudicado a Brahma (RC-037), não a Ishvara (RC-691)",0
Demiurg,Demiurgo,demiurgo,RC-048,truncamento,2,0.86,0.88,alta,varredura-automatica,tidade que te contactou ela seria o que a gente conhece por Demiurgo e se também seria o Deus do Antigo Testamento é exatamente,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
arcontos,Arcontes,arcontes,RC-474,variante,2,0.88,0.88,alta,varredura-automatica,iverso vizinho tá colapsado e inclusive os espíritos desses arcontos vão tentar nascer humanos alguns ainda estão tentando vir p,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
Xavé,Javé,jave,RC-001,variante,1,1.0,0.75,alta,varredura-automatica,oso não é aquele Deus da Bíblia maluco que Jesus chamava de Xavé é outro Deus que é o Deus chique da Santíssima Trinidade e ,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
